timestamp,messageType,latency,statusCode,roomId
1773008192890,TEXT,63,400,17
1773008192890,TEXT,63,400,15
1773008192894,TEXT,67,400,13
1773008192894,TEXT,67,400,2
1773008192895,TEXT,68,400,6
1773008192895,TEXT,68,400,1
1773008192895,TEXT,68,400,11
1773008192895,TEXT,68,400,3
1773008192895,TEXT,68,400,7
1773008192895,TEXT,68,400,12
1773008192895,TEXT,68,400,9
1773008192895,TEXT,68,400,20
1773008192895,TEXT,68,400,18
1773008192920,TEXT,64,400,19
1773008192920,TEXT,64,400,10
1773008192925,TEXT,63,400,14
1773008192925,TEXT,64,400,5
1773008192928,TEXT,65,400,16
1773008192956,TEXT,67,400,4
1773008192956,TEXT,66,400,15
1773008192956,TEXT,66,400,17
1773008192957,TEXT,67,400,8
1773008192958,TEXT,64,400,13
1773008192958,TEXT,64,400,2
1773008192961,TEXT,66,400,11
1773008192961,TEXT,66,400,6
1773008192961,TEXT,66,400,9
1773008192961,TEXT,66,400,12
1773008192961,TEXT,66,400,1
1773008192961,TEXT,66,400,3
1773008192961,TEXT,66,400,18
1773008192961,TEXT,66,400,20
1773008192962,TEXT,66,400,7
1773008192994,TEXT,74,400,19
1773008192994,TEXT,74,400,10
1773008192994,TEXT,69,400,5
1773008192994,TEXT,66,400,16
1773008192994,TEXT,69,400,14
1773008193125,TEXT,168,400,17
1773008193125,TEXT,167,400,13
1773008193126,TEXT,168,400,4
1773008193126,TEXT,165,400,11
1773008193126,TEXT,168,400,2
1773008193126,TEXT,169,400,8
1773008193126,TEXT,165,400,6
1773008193126,TEXT,165,400,1
1773008193126,TEXT,168,400,15
1773008193126,TEXT,165,400,3
1773008193126,TEXT,165,400,9
1773008193126,TEXT,165,400,12
1773008193126,TEXT,165,400,20
1773008193126,TEXT,165,400,18
1773008193126,TEXT,164,400,7
1773008193127,TEXT,132,400,10
1773008193127,TEXT,133,400,19
1773008193127,TEXT,133,400,14
1773008193127,TEXT,133,400,5
1773008193127,TEXT,133,400,16
1773008193190,TEXT,64,400,11
1773008193190,TEXT,64,400,6
1773008193192,TEXT,66,400,15
1773008193192,TEXT,66,400,8
1773008193192,TEXT,66,400,17
1773008193192,TEXT,65,400,19
1773008193192,TEXT,66,400,4
1773008193192,TEXT,65,400,5
1773008193192,TEXT,65,400,10
1773008193192,TEXT,66,400,13
1773008193192,TEXT,66,400,2
1773008193192,TEXT,66,400,9
1773008193192,TEXT,66,400,20
1773008193192,TEXT,66,400,1
1773008193192,TEXT,66,400,3
1773008193199,TEXT,72,400,14
1773008193200,TEXT,73,400,16
1773008193200,TEXT,73,400,12
1773008193200,TEXT,73,400,18
1773008193200,TEXT,73,400,7
1773008193264,TEXT,74,400,11
1773008193265,TEXT,75,400,6
1773008193265,TEXT,73,400,19
1773008193265,TEXT,73,400,15
1773008193265,TEXT,73,400,10
1773008193265,TEXT,73,400,8
1773008193265,TEXT,73,400,5
1773008193265,TEXT,73,400,4
1773008193265,TEXT,73,400,1
1773008193265,TEXT,73,400,17
1773008193265,TEXT,73,400,3
1773008193265,TEXT,73,400,13
1773008193265,TEXT,73,400,9
1773008193265,TEXT,73,400,2
1773008193265,TEXT,73,400,20
1773008193265,TEXT,65,400,14
1773008193265,TEXT,65,400,18
1773008193265,TEXT,65,400,16
1773008193265,TEXT,65,400,12
1773008193270,TEXT,70,400,7
1773008193335,TEXT,69,400,19
1773008193335,TEXT,69,400,10
1773008193336,TEXT,71,400,5
1773008193336,TEXT,71,400,4
1773008193336,TEXT,71,400,11
1773008193336,TEXT,71,400,1
1773008193336,TEXT,71,400,6
1773008193336,TEXT,71,400,3
